,pair,residuals,beta
397,"('HPQ', 'LH')","0      -22.439143
1      -23.156739
2      -22.133119
3      -21.537588
4      -21.784610
          ...    
2511    24.938843
2512    25.682577
2513    24.438909
2514    24.753124
2515    21.737310
Length: 2516, dtype: float64","const    50.418308
HPQ       5.367472
dtype: float64"
398,"('HPQ', 'RF')","0      -2.494793
1      -2.577871
2      -2.632960
3      -2.709980
4      -2.589627
          ...   
2511    3.816026
2512    3.515194
2513    3.819413
2514    3.455543
2515    3.673402
Length: 2516, dtype: float64","const    2.028018
HPQ      0.578337
dtype: float64"
399,"('HPQ', 'SCHW')","0       -7.407169
1       -7.487217
2       -7.296645
3       -7.611833
4       -6.928990
          ...    
2511     9.960898
2512    10.983015
2513    10.013179
2514     8.972004
2515    10.801611
Length: 2516, dtype: float64","const    8.271431
HPQ      1.984236
dtype: float64"
400,"('HSIC', 'MAA')","0      -10.748352
1      -10.667027
2      -13.344260
3      -14.657677
4      -14.721643
          ...    
2511     0.061313
2512     1.489335
2513     0.063751
2514    -2.391528
2515     5.551319
Length: 2516, dtype: float64","const   -129.903168
HSIC       3.530273
dtype: float64"
401,"('HSIC', 'SJM')","0       -2.521294
1       -2.239485
2       -3.218152
3       -4.611601
4       -4.031109
          ...    
2511   -17.947544
2512   -18.318882
2513   -21.029000
2514   -23.664399
2515   -21.895542
Length: 2516, dtype: float64","const    6.016502
HSIC     1.485263
dtype: float64"
402,"('HSIC', 'ULTA')","0      -55.340645
1      -51.422541
2      -56.716053
3      -60.649809
4      -62.209479
          ...    
2511   -12.606404
2512   -12.581087
2513   -21.009367
2514   -32.010629
2515   -24.741383
Length: 2516, dtype: float64","const   -325.995859
HSIC       9.384403
dtype: float64"
403,"('HUBB', 'JNPR')","0      -2.714968
1      -2.936847
2      -3.021648
3      -2.885725
4      -2.646109
          ...   
2511   -2.197225
2512   -1.779772
2513   -0.343308
2514    0.127131
2515    0.242651
Length: 2516, dtype: float64","const    16.693104
HUBB      0.048141
dtype: float64"
404,"('HUBB', 'KLAC')","0      -35.371512
1      -35.827883
2      -37.103896
3      -36.851601
4      -38.268100
          ...    
2511   -22.916686
2512     7.979394
2513    32.929851
2514    44.461393
2515    56.850711
Length: 2516, dtype: float64","const   -95.706704
HUBB      2.025634
dtype: float64"
405,"('HUBB', 'LLY')","0         2.162948
1         1.395593
2        -0.799958
3        -0.694168
4        -2.202326
           ...    
2511    -10.848578
2512     21.339855
2513     54.962852
2514     73.004503
2515    113.507180
Length: 2516, dtype: float64","const   -150.830310
HUBB       2.299612
dtype: float64"
406,"('HUBB', 'PANW')","0       -5.435405
1       -5.563105
2       -5.580160
3       -5.002468
4       -5.183964
          ...    
2511     5.514473
2512    10.424112
2513    14.615351
2514    18.450046
2515    22.552075
Length: 2516, dtype: float64","const   -14.815443
HUBB      0.457958
dtype: float64"
407,"('HUBB', 'PCAR')","0      -2.083889
1      -1.912978
2      -2.209616
3      -2.240179
4      -2.259729
          ...   
2511    2.839248
2512    4.412583
2513    5.582512
2514    4.287996
2515    6.046685
Length: 2516, dtype: float64","const    9.595095
HUBB     0.232727
dtype: float64"
408,"('HUBB', 'PWR')","0        2.946830
1        2.698494
2        1.518904
3        1.502088
4        1.124972
          ...    
2511    12.380197
2512    18.155231
2513    22.648462
2514    22.098743
2515    36.522182
Length: 2516, dtype: float64","const   -47.355395
HUBB      0.809875
dtype: float64"
409,"('HUBB', 'URI')","0      -10.266567
1       -9.169110
2      -11.536355
3      -12.399306
4      -12.598084
          ...    
2511    16.002814
2512    23.768465
2513    54.171291
2514    40.485735
2515    61.302401
Length: 2516, dtype: float64","const   -75.988156
HUBB      1.933868
dtype: float64"
410,"('HUBB', 'VMC')","0      -37.655211
1      -36.822123
2      -35.998017
3      -35.744962
4      -34.881405
          ...    
2511     0.158665
2512     4.332376
2513     9.165363
2514    11.846734
2515    15.846510
Length: 2516, dtype: float64","const    61.784221
HUBB      0.501660
dtype: float64"
411,"('HUBB', 'WBD')","0       1.525892
1       1.670008
2       2.541827
3       2.297712
4       2.103287
          ...   
2511    3.435908
2512    2.239272
2513    1.637305
2514    1.713384
2515    1.134339
Length: 2516, dtype: float64","const    34.15720
HUBB     -0.06419
dtype: float64"
412,"('IBM', 'TRGP')","0       25.588923
1       25.901506
2       24.272576
3       22.240501
4       23.624068
          ...    
2511   -10.013258
2512   -10.678272
2513   -16.747219
2514   -10.826913
2515    -7.394185
Length: 2516, dtype: float64","const   -77.608074
IBM       1.112324
dtype: float64"
413,"('IBM', 'WAB')","0        8.614770
1        9.485463
2        8.244905
3        8.357686
4        9.980058
          ...    
2511   -10.730630
2512   -18.643132
2513   -20.628343
2514   -18.410003
2515   -10.703457
Length: 2516, dtype: float64","const   -16.841956
IBM       0.920972
dtype: float64"
414,"('ICE', 'MAS')","0      -2.418277
1      -2.321867
2      -2.424840
3      -2.621688
4      -2.598578
          ...   
2511    1.071017
2512   -0.830924
2513   -0.680429
2514   -0.845930
2515   -3.886653
Length: 2516, dtype: float64","const    3.447807
ICE      0.467754
dtype: float64"
415,"('ICE', 'MCO')","0       19.295463
1       18.969189
2       18.434352
3       16.705016
4       15.927774
          ...    
2511    11.251059
2512     6.318299
2513     6.728562
2514     4.601771
2515   -13.301852
Length: 2516, dtype: float64","const   -72.005907
ICE       3.504942
dtype: float64"
416,"('ICE', 'MU')","0       12.597466
1       12.005763
2       14.369249
3       14.224917
4       14.761886
          ...    
2511   -19.898308
2512   -21.665193
2513   -20.071320
2514   -18.232575
2515   -23.429065
Length: 2516, dtype: float64","const   -16.408161
ICE       0.798013
dtype: float64"
417,"('ICE', 'NOW')","0       74.953446
1       72.470997
2       69.817548
3       69.641638
4       68.182032
          ...    
2511    91.998273
2512    90.220360
2513    87.698845
2514    93.939081
2515    33.369113
Length: 2516, dtype: float64","const   -311.709961
ICE        7.746303
dtype: float64"
418,"('ICE', 'SHW')","0       18.363245
1       16.424097
2       17.098124
3       16.209044
4       16.553467
          ...    
2511   -21.880769
2512   -23.868050
2513   -21.114500
2514   -17.840303
2515   -37.237532
Length: 2516, dtype: float64","const   -38.742141
ICE       2.620177
dtype: float64"
419,"('ICE', 'WTW')","0        0.953100
1        0.702574
2        0.413296
3        6.795400
4        7.158096
          ...    
2511    27.009743
2512    27.164386
2513    18.610683
2514    16.621042
2515     9.121586
Length: 2516, dtype: float64","const    32.742266
ICE       1.688156
dtype: float64"
420,"('IDXX', 'POOL')","0       -5.794246
1       -6.011802
2       -5.400907
3       -6.488197
4       -1.938823
          ...    
2511    28.553794
2512   -12.601429
2513    -7.815368
2514   -10.542632
2515    -6.799786
Length: 2516, dtype: float64","const    6.679024
IDXX     0.732181
dtype: float64"
421,"('IDXX', 'PPG')","0       12.308746
1       10.708643
2       11.227482
3       11.051522
4       13.077094
          ...    
2511    -8.651751
2512   -17.341942
2513   -17.609638
2514   -16.706669
2515   -12.934159
Length: 2516, dtype: float64","const    76.427044
IDXX      0.112794
dtype: float64"
422,"('IDXX', 'TER')","0        0.867390
1        1.113129
2        1.439008
3        0.940032
4        0.995323
          ...    
2511    22.154111
2512     6.980078
2513     8.453907
2514     8.609307
2515    10.541140
Length: 2516, dtype: float64","const   -0.438631
IDXX     0.222899
dtype: float64"
423,"('INCY', 'OTIS')","1287   -41.006985
1288   -40.868186
1289   -48.671178
1290   -45.153109
1291   -42.420964
          ...    
2511    18.446043
2512    17.228375
2513    17.422933
2514    18.486605
2515    19.112209
Length: 1229, dtype: float64","const    138.362192
INCY      -0.827781
dtype: float64"
424,"('INTU', 'J')","0       -4.614894
1       -4.205415
2       -4.391973
3       -3.965308
4       -3.577736
          ...    
2511    15.964216
2512    14.740736
2513    11.475818
2514    10.339520
2515    11.218967
Length: 2516, dtype: float64","const    22.689697
INTU      0.168702
dtype: float64"
425,"('INTU', 'LOW')","0        6.276049
1        5.479203
2        5.738299
3        5.575087
4        6.017250
          ...    
2511    24.790304
2512    21.511728
2513    25.392885
2514    27.838937
2515    26.779255
Length: 2516, dtype: float64","const    25.577350
INTU      0.348577
dtype: float64"
426,"('INTU', 'MPWR')","0       30.721077
1       29.943508
2       30.135053
3       30.882961
4       30.835854
          ...    
2511    20.945873
2512    13.224840
2513    51.208370
2514    52.797018
2515    49.071379
Length: 2516, dtype: float64","const   -80.471529
INTU      1.158577
dtype: float64"
427,"('INTU', 'SHW')","0        2.247481
1        0.446978
2        1.618326
3        1.125981
4        2.410896
          ...    
2511    36.742639
2512    36.566418
2513    40.659972
2514    49.135886
2515    48.016521
Length: 2516, dtype: float64","const    45.710615
INTU      0.458358
dtype: float64"
428,"('IP', 'VTR')","0       10.955880
1       10.866480
2       11.040849
3       10.776158
4       10.537045
          ...    
2511     3.092457
2512     3.913350
2513     3.898703
2514     4.574659
2515     3.556538
Length: 2516, dtype: float64","const    24.197498
IP        0.595543
dtype: float64"
429,"('IPG', 'MGM')","0      -3.561706
1      -4.192385
2      -3.121813
3      -3.081133
4      -2.899529
          ...   
2511   -4.061056
2512   -4.760637
2513   -4.136649
2514   -3.528290
2515   -2.851514
Length: 2516, dtype: float64","const    6.432182
IPG      1.119947
dtype: float64"
430,"('IQV', 'PLD')","0        3.179719
1        3.859638
2        3.545829
3        2.890371
4        1.790596
          ...    
2511    13.951181
2512    13.739909
2513    13.714438
2514    11.307479
2515     8.565882
Length: 2516, dtype: float64","const   -1.979673
IQV      0.532770
dtype: float64"
431,"('IQV', 'STE')","0        5.292333
1        5.262120
2        4.838344
3        4.056056
4        1.634421
          ...    
2511    32.353652
2512    32.179413
2513    32.356637
2514    28.660816
2515    27.524103
Length: 2516, dtype: float64","const   -2.839805
IQV      0.949226
dtype: float64"
432,"('IQV', 'ZTS')","0        0.918632
1        1.215614
2        1.446592
3        2.692813
4        0.539817
          ...    
2511    12.204504
2512    15.145689
2513    14.659879
2514    13.527039
2515     9.071707
Length: 2516, dtype: float64","const   -11.447175
IQV       0.844968
dtype: float64"
433,"('IR', 'KLAC')","570     36.037704
571     28.648261
572     28.864093
573     26.706676
574     23.884835
          ...    
2511    14.520408
2512    28.394416
2513    36.120205
2514    47.795840
2515    50.393424
Length: 1946, dtype: float64","const   -141.855741
IR         9.227882
dtype: float64"
434,"('IR', 'LEN')","570      8.124320
571      7.163441
572      7.383259
573      6.361290
574      6.429620
          ...    
2511   -26.156233
2512   -29.059512
2513   -27.209143
2514   -27.676305
2515   -28.114394
Length: 1946, dtype: float64","const    1.301207
IR       1.664126
dtype: float64"
435,"('IR', 'MLM')","570     47.735004
571     47.028917
572     44.551298
573     36.768568
574     38.806090
          ...    
2511   -29.518446
2512   -30.525571
2513   -30.008494
2514   -26.237915
2515   -22.303522
Length: 1946, dtype: float64","const    52.804653
IR        5.552599
dtype: float64"
436,"('IR', 'MPWR')","570      -1.501188
571      -8.839113
572      -7.590943
573     -12.520898
574     -15.416873
           ...    
2511   -131.574906
2512   -128.141270
2513   -102.029428
2514   -102.585245
2515   -102.255738
Length: 1946, dtype: float64","const   -105.328800
IR         9.320615
dtype: float64"
437,"('IR', 'NVR')","570    -247.521948
571    -276.995363
572    -254.028293
573    -286.018283
574    -288.892405
           ...    
2511   -308.001360
2512   -482.362744
2513   -443.443146
2514   -425.819136
2515   -433.513669
Length: 1946, dtype: float64","const    738.835777
IR        80.867223
dtype: float64"
438,"('IR', 'PANW')","570      2.926648
571      1.514044
572      1.188893
573      0.488892
574     -0.480199
          ...    
2511    14.012420
2512    15.110432
2513    15.403219
2514    19.276189
2515    21.180439
Length: 1946, dtype: float64","const   -27.955076
IR        2.114740
dtype: float64"
439,"('IR', 'URI')","570     49.309471
571     42.799658
572     40.029873
573     33.560978
574     31.389197
          ...    
2511    50.989772
2512    42.602753
2513    56.549806
2514    43.017051
2515    54.528226
Length: 1946, dtype: float64","const   -126.437165
IR         8.886006
dtype: float64"
440,"('IR', 'VMC')","570     19.310992
571     19.551283
572     17.152098
573     13.951933
574     14.140805
          ...    
2511    10.567028
2512    10.470133
2513    11.043727
2514    13.752259
2515    15.303183
Length: 1946, dtype: float64","const    53.216945
IR        2.242708
dtype: float64"
441,"('IRM', 'JNPR')","0      -3.603303
1      -3.665098
2      -3.713567
3      -3.593243
4      -3.381345
          ...   
2511   -3.182459
2512   -3.262142
2513   -2.331065
2514   -2.441321
2515   -2.838896
Length: 2516, dtype: float64","const    17.256967
IRM       0.204642
dtype: float64"
442,"('IRM', 'PANW')","0      -14.937730
1      -13.598594
2      -13.261091
3      -12.827337
4      -13.247747
          ...    
2511     0.845428
2512     0.957985
2513     0.387546
2514    -1.109080
2515    -1.831838
Length: 2516, dtype: float64","const   -6.739336
IRM      1.873722
dtype: float64"
443,"('ISRG', 'WTW')","0       -9.301693
1       -8.918925
2       -8.464049
3       -1.875235
4       -1.176118
          ...    
2511    -9.808451
2512   -11.667462
2513   -22.515489
2514   -27.166353
2515   -21.272069
Length: 2516, dtype: float64","const    85.674213
ISRG      0.443632
dtype: float64"
